x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,Borehole_name,DAS_name,train_number
192716.034,502802.6856,0.38,-2.45,1.05,2.2318244409632734e-08,2.8011188272364386e-08,2.8618858916654262e-08,2.5184336544862808e-08,1.6222952856631872e-08,9.623875821751364e-09,7.304401790553315e-09,4.863325009975234e-09,4.5422790581820974e-09,4.298614953565736e-09,3.6153952831117916e-09,3.00550021806113e-09,3.3550379748504886e-09,3.677249225702617e-09,3.0022620633683804e-09,2.3679211452369168e-09,21D0156,140,13
192716.034,502802.6856,0.38,-2.45,1.05,1.858140641349849e-08,2.2286643109726132e-08,2.1104717026387755e-08,1.5539129822420912e-08,8.076433673025101e-09,5.174091409374443e-09,4.00648119441528e-09,3.9112387424850396e-09,4.781927122756283e-09,5.08147390049189e-09,4.5720590519061585e-09,3.06176977233969e-09,2.5634805955267174e-09,2.4132416076348555e-09,1.8255653405210078e-09,1.6986169424127476e-09,21D0156,140,14
192716.034,502802.6856,0.38,-2.45,1.05,1.8533023306272792e-08,2.1501733495096952e-08,1.9903313385391845e-08,1.4880050557763544e-08,7.4268278490607875e-09,3.807468106955528e-09,3.634239506984837e-09,4.702127065255415e-09,5.3827516483444166e-09,5.294805345427587e-09,4.625068576764902e-09,3.3483161192231516e-09,2.757890468876702e-09,2.3291565965121053e-09,1.9026313900065842e-09,1.9066990719736056e-09,21D0156,140,15
192716.034,502802.6856,0.38,-2.45,1.05,2.2298117498547333e-08,3.11695161082198e-08,3.130170264671346e-08,2.3371194896712082e-08,1.27423070410386e-08,9.643042474549592e-09,7.628875641442602e-09,6.162726891809691e-09,6.6658837551499265e-09,7.094592353352051e-09,5.759525638168067e-09,4.070626588961445e-09,3.870976389216634e-09,4.0092110880191276e-09,2.8208689973414743e-09,2.149604466940832e-09,21D0156,140,16
192716.034,502802.6856,0.38,-2.45,1.05,2.0886710537244488e-08,2.45659905260896e-08,2.037116812097849e-08,1.4042121103097768e-08,8.3528083194777e-09,7.359241149734009e-09,6.954457367415528e-09,5.519699647229239e-09,4.949214423508324e-09,4.2804735512768936e-09,3.7019028261735222e-09,3.527093996396153e-09,2.597374918856913e-09,1.991841373798779e-09,1.897490623968103e-09,1.8933136998791397e-09,21D0156,140,17
192716.034,502802.6856,0.38,-2.45,1.05,1.954208293198496e-08,2.73427171051413e-08,2.824700353231493e-08,2.1464340872524892e-08,1.1622001001779211e-08,8.659792232835826e-09,6.719311047865601e-09,5.181681660150468e-09,6.3566735554075986e-09,6.5279254502090525e-09,5.415262546468361e-09,4.018785805558514e-09,3.89390915367222e-09,4.216911919273659e-09,3.1932186822096982e-09,2.567532455232773e-09,21D0156,140,18
192698.5373,502811.6678,0.46,-2.9,1.65,9.335258465847352e-09,1.1354849083843912e-08,1.1525503601577297e-08,9.505083957466896e-09,5.7682965146248975e-09,3.681936737427012e-09,3.0655646890324203e-09,2.5229440925632063e-09,2.2659842898119078e-09,1.942743530282961e-09,1.7688765576745707e-09,1.698553608953898e-09,1.726070335136136e-09,1.5676132587098034e-09,1.5107087082530463e-09,1.5856949866953583e-09,21C0278,160,1
192698.5373,502811.6678,0.46,-2.9,1.65,1.1349319926948026e-08,1.604850168453363e-08,1.6706994693239356e-08,1.2721422812376598e-08,6.595281830632456e-09,6.008656559434977e-09,5.770164803604577e-09,3.843689576424287e-09,2.798878891077072e-09,2.0778928459970292e-09,2.022042980682122e-09,1.941918848926933e-09,1.8438958451880335e-09,1.965785073516407e-09,2.0397170279037583e-09,1.873671025268238e-09,21C0278,160,2
192698.5373,502811.6678,0.46,-2.9,1.65,1.8243215928844755e-08,2.2019049151391465e-08,1.8433578818359343e-08,1.2804530097185311e-08,6.378800161081391e-09,4.701914538834103e-09,4.176001447033311e-09,3.337654289854967e-09,2.8547803327455373e-09,2.293506173592148e-09,2.242651791895836e-09,2.0737973153212622e-09,1.8305525143428765e-09,1.7593749219641984e-09,1.5015920320117094e-09,1.545250630486121e-09,21C0278,160,3
192698.5373,502811.6678,0.46,-2.9,1.65,1.2335753907698874e-08,1.0405471604031605e-08,9.414422684752148e-09,7.824436677146268e-09,5.430712186558888e-09,5.2463451059288835e-09,5.066092661658605e-09,4.332145189715482e-09,3.834693639215734e-09,3.305134031567106e-09,3.202641329358971e-09,3.654052735471597e-09,3.1153504275537503e-09,3.068790815976776e-09,3.035551142517267e-09,2.5734070544521156e-09,21C0278,160,4
