x_coord,y_coord,surface,end,z_top,cwt_f10,cwt_f12,cwt_f14,cwt_f16,cwt_f18,cwt_f20,cwt_f22,cwt_f24,cwt_f26,cwt_f28,cwt_f30,cwt_f32,cwt_f34,cwt_f36,cwt_f38,cwt_f40,Borehole_name,DAS_name,train_number
192733.7797,502794.1986,0.5,-4.0,,1.0362059263032242e-08,1.1896861251395464e-08,1.0961884862301562e-08,9.268256512288487e-09,8.461778334889833e-09,1.01142051318012e-08,1.1103115097590513e-08,9.736705116565256e-09,7.402624043343171e-09,4.677686088132835e-09,3.5348712028235614e-09,3.2622981729044757e-09,3.2159578091610533e-09,3.0644415232211294e-09,2.907053984695486e-09,2.463324805923632e-09,21D0187,120,35
192733.7797,502794.1986,0.5,-4.0,,5.558621927594825e-09,4.5567882833834604e-09,3.1132099898354142e-09,2.793241684667161e-09,4.257796950387396e-09,6.085162624920443e-09,6.493870810112511e-09,7.373846900934963e-09,6.701815886900276e-09,4.2999527383226204e-09,3.1617236712436037e-09,2.2205295944194023e-09,2.680161914121393e-09,4.1574283102840616e-09,4.7095601012872e-09,3.5596043339617e-09,21D0187,120,36
192733.7797,502794.1986,0.5,-4.0,,9.891658012416577e-09,9.365997438251326e-09,7.729406747168022e-09,6.275268546256167e-09,6.342135626462651e-09,8.246158084269628e-09,9.277631269164029e-09,9.74716607728778e-09,7.77273057157658e-09,4.446700348462438e-09,3.321125944072787e-09,2.301989680155016e-09,2.5865753039242943e-09,3.155175437614825e-09,2.8019355328485413e-09,2.14428122685106e-09,21D0187,120,37
192733.7797,502794.1986,0.5,-4.0,,1.3637980909480196e-08,1.877132470658225e-08,2.0745833879892782e-08,1.7408525729063226e-08,1.0813275864145032e-08,6.742778385391308e-09,5.251802770150717e-09,4.639375584032518e-09,4.539388928305876e-09,3.909646281471588e-09,3.764748541203439e-09,3.176112983106122e-09,3.227794052475736e-09,3.831764480573309e-09,3.252615942589625e-09,2.4277850408433166e-09,21D0187,120,38
192733.7797,502794.1986,0.5,-4.0,,1.6589029974680366e-08,2.107694833229468e-08,2.056094899921369e-08,1.5652121744877742e-08,8.213610713752869e-09,6.052787718217889e-09,5.574186794581533e-09,5.795128979607785e-09,5.9968189256702236e-09,4.4440120340795845e-09,3.285642772094439e-09,2.7996568825196583e-09,3.778583622558891e-09,3.784399235325478e-09,2.4683318194539476e-09,1.88343654326527e-09,21D0187,120,39
192733.7797,502794.1986,0.5,-4.0,,4.918184238914585e-09,3.928253761724614e-09,2.774494843025685e-09,2.5219280451046467e-09,3.8709919726921635e-09,7.579058688093255e-09,9.064965722608531e-09,7.358938802464805e-09,5.1303570327508e-09,2.837135064224628e-09,2.130570530039237e-09,1.4271066174987356e-09,1.5871495035481407e-09,2.0876594721878833e-09,2.1173682904701253e-09,1.6617805841894722e-09,21D0187,120,40
192733.7797,502794.1986,0.5,-4.0,,1.448798568978739e-08,1.7588358812977362e-08,1.7516075344686664e-08,1.4048480597432465e-08,7.624297156188582e-09,4.064231222920519e-09,3.752987609905426e-09,3.330606591830302e-09,2.8809508355396433e-09,2.37925356085344e-09,2.4082810138939126e-09,2.072866221965886e-09,2.6158064556664994e-09,2.736022884397844e-09,1.9688807240900734e-09,1.4740994162220215e-09,21D0187,120,41
192733.7797,502794.1986,0.5,-4.0,,4.31902967393379e-09,3.497957608747001e-09,4.314886122653343e-09,4.613424773524624e-09,4.988738034728889e-09,7.81799632073661e-09,9.379128488004737e-09,1.0160643408855024e-08,7.928403466427521e-09,4.2465303040941394e-09,2.903290673685989e-09,1.5630345596843834e-09,2.283641659021581e-09,3.1077534604507943e-09,2.8102040982494953e-09,2.012742556300701e-09,21D0187,120,42
192733.7797,502794.1986,0.5,-4.0,,1.6198743345255585e-08,1.96162943989606e-08,2.0254296962314742e-08,1.65494577810941e-08,9.884444492492149e-09,6.444130927855127e-09,5.359306965203757e-09,4.3589988487028575e-09,4.219529028208914e-09,3.600178635574845e-09,3.12885845435973e-09,2.711111629900099e-09,3.564448152075081e-09,3.4458989960447763e-09,2.4520988979788573e-09,1.876677244830658e-09,21D0187,120,43
192733.7797,502794.1986,0.5,-4.0,,5.998407022338081e-09,5.1453340244069985e-09,3.3431058838271487e-09,2.636616709182522e-09,3.348362406616897e-09,6.4460203372999595e-09,8.111892084100661e-09,7.418101360163038e-09,5.234262330405721e-09,2.714064735882316e-09,2.0116619301613442e-09,1.346497086069252e-09,1.6666308993447302e-09,2.209664625922391e-09,2.103023585974863e-09,1.6107683272136e-09,21D0187,120,44
192733.7797,502794.1986,0.5,-4.0,,2.860121861290736e-09,2.450729736424321e-09,2.305409840263564e-09,2.6591919539677654e-09,3.608604151388028e-09,6.853582123521129e-09,8.515657913256582e-09,7.792489839959504e-09,5.701688074518256e-09,2.734584820537082e-09,1.6831998463286059e-09,1.0205963941310699e-09,1.5342442529071556e-09,2.117489399520213e-09,2.029873495516128e-09,1.459480453949839e-09,21D0187,120,45
192733.7797,502794.1986,0.5,-4.0,,1.3829424204060322e-08,1.9688698509647983e-08,2.0055774865137722e-08,1.5354857596613273e-08,8.301664463689245e-09,4.9515947502966734e-09,4.163212140857576e-09,4.307328839170493e-09,4.677738196865064e-09,4.145921894154478e-09,3.096393415332805e-09,2.291292063482925e-09,3.8855752532767414e-09,4.442335296081971e-09,3.0895276510646433e-09,1.8995499683989388e-09,21D0187,120,46
192733.7797,502794.1986,0.5,-4.0,,1.6987101892014663e-08,2.1360543366559892e-08,1.9405631141368757e-08,1.4382469365296848e-08,7.764180739127271e-09,5.143581949660414e-09,5.127216159735371e-09,4.353868153603876e-09,3.912629983472839e-09,3.473747090109925e-09,3.012308550048359e-09,2.731970921269771e-09,3.0113295362906303e-09,2.672213898759593e-09,1.987938747155027e-09,1.7408258735897015e-09,21D0187,120,47
192733.7797,502794.1986,0.5,-4.0,,5.962705197259784e-09,5.172458723623729e-09,4.7842056992047695e-09,4.570615638113054e-09,4.974878964715226e-09,7.010344291356673e-09,8.279258741562986e-09,8.414720976223532e-09,7.795159124291154e-09,5.915001349229777e-09,4.2420885971664855e-09,2.1565482104286996e-09,1.3796339820778635e-09,1.6248603085087704e-09,1.8988089564650783e-09,1.645203979148171e-09,21D0187,120,48
192733.7797,502794.1986,0.5,-4.0,,1.0352854952322822e-08,1.6135263665510722e-08,1.8600744663306826e-08,1.5190523764305572e-08,8.248532607465004e-09,4.3161390207514064e-09,3.769526810229228e-09,4.096618916876202e-09,4.534339772237781e-09,3.878537786042282e-09,2.731143875681499e-09,1.74439222093429e-09,3.537517130149538e-09,4.075258641853205e-09,2.804349566408942e-09,1.724625289424444e-09,21D0187,120,49
192733.7797,502794.1986,0.5,-4.0,,3.824183506072436e-09,3.482054068179742e-09,3.6988463071687347e-09,3.3671160078989613e-09,4.2569866778234015e-09,7.162243895830024e-09,8.449474485200175e-09,9.797681160776464e-09,8.150173829653397e-09,4.441171361485369e-09,2.9037677697186622e-09,1.75923607703286e-09,2.204014797232276e-09,2.9029581035064847e-09,2.5675669692889324e-09,1.7426701241842493e-09,21D0187,120,50
192716.034,502802.6856,0.38,-2.45,1.05,6.677784894049705e-09,5.969154712691514e-09,4.309645971542521e-09,3.683662541668992e-09,3.9934612065345725e-09,5.797506624225117e-09,6.807747013273346e-09,6.446006684969904e-09,5.4853552821926e-09,4.306318279070543e-09,3.268817586274631e-09,2.2520113284173846e-09,1.898633753601513e-09,1.8565147052641566e-09,1.8561463692464606e-09,1.6086501141906307e-09,21D0156,140,1
192716.034,502802.6856,0.38,-2.45,1.05,8.639497162442988e-09,1.1318918329495968e-08,1.2567361177440282e-08,1.044950653826592e-08,6.75344777368147e-09,3.844577248261369e-09,3.1465146244266116e-09,3.020941518879369e-09,2.8228573853930483e-09,2.799066086173637e-09,2.652529907958313e-09,2.103699939980017e-09,2.3351344583551902e-09,2.283316696025424e-09,1.7350016537002802e-09,1.381440032857188e-09,21D0156,140,2
192716.034,502802.6856,0.38,-2.45,1.05,4.432362274324173e-09,3.75070580415486e-09,3.529881721308537e-09,3.616471565630266e-09,3.450744933226575e-09,4.848967608152961e-09,6.477911847272242e-09,6.3204440961171e-09,4.8556847638621915e-09,2.997024961055573e-09,2.01444018248607e-09,1.3921631265181199e-09,1.491379872598858e-09,1.7032591317275219e-09,1.560914404919772e-09,1.2128989423673947e-09,21D0156,140,3
192716.034,502802.6856,0.38,-2.45,1.05,1.37757119603293e-08,1.8245932667438995e-08,1.9170407709248797e-08,1.512424858188855e-08,8.586760263478928e-09,4.404089769464029e-09,3.306280484556905e-09,3.148810631806065e-09,2.792025390047336e-09,2.21504440976447e-09,2.291164920119653e-09,2.164415780256275e-09,2.2885563101625734e-09,2.2912175900945717e-09,2.060832573959617e-09,2.0545050527885204e-09,21D0156,140,4
192716.034,502802.6856,0.38,-2.45,1.05,1.8637856963464093e-08,2.4231846874508663e-08,2.1233235765981024e-08,1.490714950280591e-08,8.590741379391125e-09,5.983245354589777e-09,4.7070173624962375e-09,4.234067654201889e-09,4.785277765304737e-09,3.914800106362444e-09,2.772401532175969e-09,2.2761122608248013e-09,2.431338992318573e-09,2.091138533732921e-09,1.483496873448267e-09,1.441239956706511e-09,21D0156,140,5
192716.034,502802.6856,0.38,-2.45,1.05,5.2508517388596325e-09,4.88173241103396e-09,4.8101461820594005e-09,4.185101982881539e-09,3.344958958213449e-09,5.055745457795093e-09,7.763297851789471e-09,1.0138165458891867e-08,8.713401572286897e-09,5.391756599316355e-09,3.6551387371733485e-09,2.3380802040617123e-09,2.394310198043376e-09,2.904873866495757e-09,2.9230609969547316e-09,2.2782138757751478e-09,21D0156,140,6
192716.034,502802.6856,0.38,-2.45,1.05,1.4422789164432041e-08,2.1973175794388186e-08,2.40863273550211e-08,1.8720778041051562e-08,1.0379240704438188e-08,7.926646510072223e-09,6.6737320236356285e-09,4.655508715487131e-09,4.912490963238586e-09,4.802578080608482e-09,3.620658171168527e-09,2.3679827350292187e-09,2.8559126602741795e-09,2.886231791475482e-09,2.0762389174334062e-09,1.770639516286204e-09,21D0156,140,7
192716.034,502802.6856,0.38,-2.45,1.05,2.1135957750119687e-08,2.4388453595378855e-08,2.110140774370796e-08,1.6085812386886652e-08,1.0193482932771196e-08,6.588330011131791e-09,4.8440543482516365e-09,4.520755488802374e-09,5.004405095387301e-09,4.425432183474575e-09,3.783113925658666e-09,3.5772250887558702e-09,3.992151499560402e-09,3.7240017670541325e-09,2.5157847900018262e-09,1.9686223060662573e-09,21D0156,140,8
192716.034,502802.6856,0.38,-2.45,1.05,5.403539796510962e-09,5.323168321152326e-09,5.633021710852535e-09,4.974989959341449e-09,3.743337199240409e-09,4.7993028525960686e-09,7.4422733141205165e-09,9.387765479495662e-09,7.735611305679709e-09,4.381041640455284e-09,3.104891479780687e-09,2.1979022703232452e-09,2.0386268770771124e-09,2.414191868639269e-09,2.552497231204479e-09,2.0899693168915246e-09,21D0156,140,9
192716.034,502802.6856,0.38,-2.45,1.05,1.2742384834412753e-08,1.4010339358812029e-08,1.2943273225198653e-08,1.0794587405773209e-08,7.670096512802764e-09,4.755234980781434e-09,3.6582153046346123e-09,3.308468389538562e-09,3.099042058047241e-09,2.5468382170812123e-09,2.117455718764267e-09,1.7862311130353303e-09,2.01830955272462e-09,2.2804710040183127e-09,2.110518795867017e-09,1.7843320000098654e-09,21D0156,140,10
192716.034,502802.6856,0.38,-2.45,1.05,8.927381272754089e-09,1.0438342918631002e-08,8.829511104852701e-09,7.002995369827219e-09,6.745626811792677e-09,6.533417910930055e-09,7.040558160636041e-09,7.259085676763626e-09,5.8055850121033225e-09,4.0861266382254215e-09,3.3082368365966722e-09,2.216993694826152e-09,2.0704008540922148e-09,2.4069477508923223e-09,1.9484518060901206e-09,1.5503115010129615e-09,21D0156,140,11
192716.034,502802.6856,0.38,-2.45,1.05,1.6211442967074325e-08,2.29387754273082e-08,2.3149617246377253e-08,1.7094925961129236e-08,8.65134114666257e-09,5.541647452010268e-09,5.007734775406662e-09,4.0428516178391e-09,3.944247973672075e-09,4.097353955081079e-09,3.7792465828223765e-09,3.2518671450941433e-09,3.043109796606887e-09,2.6519463873416516e-09,2.149326954702781e-09,2.380039639882347e-09,21D0156,140,12
